"","AWS","Date","Year","Tavg","Tmax","Tmin","Prec","Vl","Rh","Tzavg","Tzmax","Tzmin"
"157","_00000A1D",2013-06-06,2013,16.84,22.73,11.51,0.6,NA,99.99,NA,NA,NA
"158","_00000A1D",2013-06-07,2013,19.06,25.92,13.85,3.2,NA,97.49,NA,NA,NA
"159","_00000A1D",2013-06-08,2013,20.49,28.51,13.86,0,NA,93.5,NA,NA,NA
"160","_00000A1D",2013-06-09,2013,22.15,30.59,13.4,0,NA,89.48,NA,NA,NA
"161","_00000A1D",2013-06-10,2013,20.16,28.76,14.39,1.6,NA,99.29,NA,NA,NA
"162","_00000A1D",2013-06-11,2013,19.09,26.89,11.47,0.2,NA,94.81,NA,NA,NA
"163","_00000A1D",2013-06-12,2013,19.13,26.61,11.98,0,NA,94.11,NA,NA,NA
"164","_00000A1D",2013-06-13,2013,20.76,29.25,13.44,0,NA,89.54,NA,NA,NA
"165","_00000A1D",2013-06-14,2013,21.84,31.16,11.55,0,NA,84.99,NA,NA,NA
"166","_00000A1D",2013-06-15,2013,22.76,32.76,13.28,0,NA,86.97,NA,NA,NA
"167","_00000A1D",2013-06-16,2013,24.41,34.08,14.26,0,NA,82.82,NA,NA,NA
"168","_00000A1D",2013-06-17,2013,25.41,35.26,14.23,0,NA,82.51,NA,NA,NA
"169","_00000A1D",2013-06-18,2013,26.27,36.32,15.07,0,NA,83.94,NA,NA,NA
"170","_00000A1D",2013-06-19,2013,27.61,37.56,16.54,0,NA,80.92,NA,NA,NA
"171","_00000A1D",2013-06-20,2013,28.02,36.97,18.27,0.2,NA,84.06,NA,NA,NA
"172","_00000A1D",2013-06-21,2013,28.89,37.41,21.36,0,NA,84.06,NA,NA,NA
"173","_00000A1D",2013-06-22,2013,27.88,37.88,19.16,2,NA,81.88,NA,NA,NA
"174","_00000A1D",2013-06-23,2013,23.79,32.51,18.62,2.2,NA,93.62,NA,NA,NA
"175","_00000A1D",2013-06-24,2013,19.12,28.48,14.86,30.8,NA,99.98,NA,NA,NA
"176","_00000A1D",2013-06-25,2013,15.2,17.96,11.82,2.6,NA,100,NA,NA,NA
"177","_00000A1D",2013-06-26,2013,15.16,21.39,9.81,0,NA,93.16,NA,NA,NA
"178","_00000A1D",2013-06-27,2013,15.34,22.82,9.21,0,NA,93.36,NA,NA,NA
"179","_00000A1D",2013-06-28,2013,17.01,25.77,10.23,0,NA,91.51,NA,NA,NA
"180","_00000A1D",2013-06-29,2013,18.08,27.32,8.45,0,NA,83.18,NA,NA,NA
"181","_00000A1D",2013-06-30,2013,18.69,26.3,10.62,0.2,NA,82.74,NA,NA,NA
"182","_00000A1D",2013-07-01,2013,18.58,26.71,10.73,0,NA,75.7,NA,NA,NA
"183","_00000A1D",2013-07-02,2013,19.11,29.39,7.58,0,NA,76.89,NA,NA,NA
"184","_00000A1D",2013-07-03,2013,20.67,30.78,8.71,0,NA,76.84,NA,NA,NA
"185","_00000A1D",2013-07-04,2013,21.94,31.7,11.72,0,NA,79.75,NA,NA,NA
"186","_00000A1D",2013-07-05,2013,23.55,31.98,13.65,0,NA,80.47,NA,NA,NA
"187","_00000A1D",2013-07-06,2013,24.36,32.8,16.85,1,NA,83.99,NA,NA,NA
"188","_00000A1D",2013-07-07,2013,24.12,32.19,17.95,0,NA,86.77,NA,NA,NA
